scope,year,category,n,mean,median,std,q1,q3,iqr,skew,kurt,ci_lo,ci_hi,min,max
year,2020.0,General,263.0,178.23,179.0,17.0,165.0,190.0,25.0,-0.034,-0.186,176.17,180.3,124.0,215.0
year,2020.0,OBC,229.0,173.03,173.0,14.31,165.0,184.0,19.0,0.074,-0.147,171.16,174.89,135.0,215.0
year,2020.0,SC,122.0,166.17,165.0,17.68,154.0,179.0,25.0,0.212,-0.384,163.0,169.34,124.0,212.0
year,2020.0,ST,61.0,165.85,162.0,15.36,157.0,176.0,19.0,0.374,-0.421,161.92,169.79,138.0,201.0
year,2020.0,EWS,86.0,169.1,169.0,16.21,160.0,179.0,19.0,0.225,-0.173,165.63,172.58,135.0,209.0
year,2021.0,General,244.0,174.66,176.0,16.2,165.0,187.0,22.0,-0.634,0.666,172.62,176.71,110.0,206.0
year,2021.0,OBC,203.0,169.36,168.0,15.08,160.0,179.5,19.5,0.002,-0.311,167.27,171.45,132.0,205.0
year,2021.0,SC,105.0,166.88,168.0,15.55,154.0,179.0,25.0,-0.542,0.43,163.87,169.89,110.0,198.0
year,2021.0,ST,60.0,161.23,162.5,14.15,151.0,173.0,22.0,-0.688,0.015,157.58,164.89,124.0,187.0
year,2021.0,EWS,73.0,166.82,165.0,15.26,160.0,179.0,19.0,-0.396,0.195,163.26,170.38,118.0,195.0
year,2022.0,General,345.0,178.25,180.0,14.67,168.0,190.0,22.0,-0.526,0.373,176.7,179.8,124.0,209.0
year,2022.0,OBC,263.0,173.99,176.0,14.52,162.0,184.0,22.0,-0.374,-0.35,172.23,175.75,132.0,209.0
year,2022.0,SC,154.0,168.14,168.0,17.21,160.0,182.0,22.0,-0.491,0.255,165.4,170.88,105.0,200.0
year,2022.0,ST,72.0,168.85,167.5,19.51,151.0,182.25,31.25,0.181,-0.682,164.26,173.43,127.0,210.0
year,2022.0,EWS,99.0,174.91,176.0,14.19,165.0,184.0,19.0,-0.172,-0.56,172.08,177.74,138.0,202.0
year,2023.0,General,347.0,182.18,184.0,16.79,171.0,195.0,24.0,-0.438,0.015,180.41,183.96,120.0,215.0
year,2023.0,OBC,303.0,174.6,175.0,17.28,162.0,185.0,23.0,-0.13,-0.168,172.65,176.55,120.0,212.0
year,2023.0,SC,165.0,175.06,175.0,15.5,165.0,185.0,20.0,0.036,-0.23,172.68,177.44,138.0,215.0
year,2023.0,ST,86.0,172.53,173.0,18.17,160.0,184.75,24.75,-0.258,0.475,168.64,176.43,110.0,212.0
year,2023.0,EWS,115.0,173.23,173.0,16.36,165.0,185.0,20.0,-0.509,0.957,170.21,176.26,115.0,206.0
year,2024.0,General,328.0,183.41,185.0,16.29,173.0,195.0,22.0,-0.504,0.246,181.64,185.18,120.0,216.0
year,2024.0,OBC,315.0,176.39,179.0,17.31,165.0,190.0,25.0,-0.417,-0.082,174.47,178.31,124.0,215.0
year,2024.0,SC,160.0,172.08,175.0,18.82,159.75,187.0,27.25,-0.653,0.508,169.14,175.01,106.0,210.0
year,2024.0,ST,87.0,176.0,176.0,17.7,165.0,188.5,23.5,-0.191,-0.365,172.23,179.77,130.0,209.0
year,2024.0,EWS,109.0,177.35,179.0,15.83,165.0,190.0,25.0,-0.259,-0.698,174.34,180.35,143.0,210.0
year,2025.0,General,317.0,188.29,190.0,16.34,179.0,200.0,21.0,-0.481,-0.162,186.48,190.1,140.0,225.0
year,2025.0,OBC,306.0,182.27,182.0,16.15,171.25,195.0,23.75,-0.204,-0.215,180.45,184.09,132.0,220.0
year,2025.0,SC,158.0,182.16,184.0,15.29,172.0,193.0,21.0,-0.382,-0.342,179.76,184.57,140.0,215.0
year,2025.0,ST,73.0,183.1,184.0,13.95,171.0,195.0,24.0,-0.055,-1.001,179.84,186.35,155.0,210.0
year,2025.0,EWS,104.0,182.39,180.0,14.71,173.0,193.0,20.0,0.196,-0.635,179.53,185.25,155.0,215.0
pooled,pooled,General,1844.0,181.16,182.0,16.73,170.0,193.0,23.0,-0.368,0.098,180.39,181.92,110.0,225.0
pooled,pooled,OBC,1619.0,175.42,176.0,16.41,165.0,187.0,22.0,-0.148,-0.186,174.62,176.22,120.0,220.0
pooled,pooled,SC,864.0,172.32,173.0,17.62,160.0,185.0,25.0,-0.329,0.084,171.15,173.5,105.0,215.0
pooled,pooled,ST,439.0,171.9,171.0,18.03,160.0,185.0,25.0,-0.069,-0.279,170.21,173.59,110.0,212.0
pooled,pooled,EWS,586.0,174.5,175.0,16.18,165.0,185.0,20.0,-0.179,0.024,173.19,175.82,115.0,215.0
